term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,variable
(Intercept),1.12625401978535,0.23667844793522744,4.758582919614107,2.1979675677297195e-6,0.00463176891240524,0.6858689932690392,0.5611689446752421,0.7816941766289363,Mammals,int,w.marginality
log(int.age + 1),-0.0468993231317246,0.01862314340352072,-2.5183354987675304,0.01192631964703938,0.00463176891240524,0.6858689932690392,0.5611689446752421,0.7816941766289363,Mammals,int,w.marginality
(Intercept),1.1244474337248782,0.23749394718211397,4.734636175222751,2.4684383803652565e-6,0.00416332693895924,0.6873775529552435,0.5631769144019015,0.7827342616900709,Mammals,high,w.marginality
log(high.age + 1),-0.05727634055012893,0.02378376979187405,-2.408211189871924,0.01618789774097662,0.00416332693895924,0.6873775529552435,0.5631769144019015,0.7827342616900709,Mammals,high,w.marginality
(Intercept),1.8782010976434576,0.492309540480333,3.8150816573876423,1.433975811377941e-4,0.0097898059222767,0.6645406601409571,0.5536670462450228,0.7550473317635308,Mammals,low,w.specialization
log(low.age + 1),-0.12432737862013388,0.03537827433577624,-3.514229593002165,4.5821910000998223e-4,0.0097898059222767,0.6645406601409571,0.5536670462450228,0.7550473317635308,Mammals,low,w.specialization
(Intercept),1.871061552660767,0.4932000331301818,3.7937174107344274,1.5615350243503023e-4,0.00966216998924744,0.665639751956459,0.5551089845403923,0.7558204188171761,Mammals,int,w.specialization
log(int.age + 1),-0.14083281699145797,0.04031967172914679,-3.492905843517842,4.959911711468479e-4,0.00966216998924744,0.665639751956459,0.5551089845403923,0.7558204188171761,Mammals,int,w.specialization
(Intercept),1.8773204028498112,0.4938393980717904,3.801479610942061,1.5140002535574126e-4,0.00995228103718729,0.6662611117091436,0.556065161022539,0.7561692153609562,Mammals,high,w.specialization
log(high.age + 1),-0.18239849827634516,0.05150759848358125,-3.5411959331493033,4.142971154150743e-4,0.00995228103718729,0.6662611117091436,0.556065161022539,0.7561692153609562,Mammals,high,w.specialization
(Intercept),1.1223392887711865,0.2338269393743023,4.799871613486688,1.7971749972645057e-6,0.00996397140024614,0.6817562909940257,0.5598916121685469,0.776314052079429,Mammals,low,w.marginality
log(low.age + 1),-0.05870591905421516,0.01656894940675568,-3.543128632541958,4.1130544173295647e-4,0.00996397140024614,0.6817562909940257,0.5598916121685469,0.776314052079429,Mammals,low,w.marginality
