term,Estimate,Std..Error,t.value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
log(low.age + 1),-0.02060213953117371,0.009058220742819251,-2.2744134986449414,0.023091449773559924,0.002961280758895802,0.7129613196921286,0.6354370931722932,0.7762406673668183,Amphibians,low,neo_marginality
(Intercept),1.2866846000165981,0.15861204004900203,8.112149617513817,1.1102230246251565e-15,0.0027169548719837514,0.7133376462730003,0.635907040942082,0.7765352199755328,Amphibians,int,neo_marginality
log(int.age + 1),-0.02172607971627262,0.009888041295109673,-2.1972076236188136,0.028168506498648327,0.0027169548719837514,0.7133376462730003,0.635907040942082,0.7765352199755328,Amphibians,int,neo_marginality
(Intercept),1.2857405347362847,0.1588331564977123,8.094912693841751,1.3322676295501878e-15,0.00246471739439393,0.7138144454613393,0.6365050617869562,0.7769070545056912,Amphibians,high,neo_marginality
log(high.age + 1),-0.023503114845608665,0.011114746810524179,-2.1145884153973133,0.034640880903369364,0.00246471739439393,0.7138144454613393,0.6365050617869562,0.7769070545056912,Amphibians,high,neo_marginality
(Intercept),2.5992938043428127,0.26174248601416744,9.9307294124276,0,0.001613281808360389,0.34186074792912996,0.23599029647401676,0.4543823881746176,Amphibians,low,neo_specialization
log(low.age + 1),-0.04822764453031156,0.026668628780706933,-1.8084036088575057,0.07075758142070598,0.001613281808360389,0.34186074792912996,0.23599029647401676,0.4543823881746176,Amphibians,low,neo_specialization
(Intercept),2.594987907003924,0.26207460473498934,9.901714474120771,0,0.001391543369265732,0.3420981347012446,0.23608298092499372,0.4547388097484415,Amphibians,int,neo_specialization
log(int.age + 1),-0.05032491373354901,0.02926142624526552,-1.7198380322179803,0.08568226456028549,0.001391543369265732,0.3420981347012446,0.23608298092499372,0.4547388097484415,Amphibians,int,neo_specialization
(Intercept),2.5953901424688115,0.2627944875754288,9.876120943076737,0,0.001269070776331178,0.34241472823256425,0.23625855134578885,0.4551640144241962,Amphibians,high,neo_specialization
log(high.age + 1),-0.05516452967235794,0.033053932873279394,-1.668924841223739,0.09535522552100861,0.001269070776331178,0.34241472823256425,0.23625855134578885,0.4551640144241962,Amphibians,high,neo_specialization
(Intercept),1.2516900495723466,0.19130831309481136,6.542789643187204,8.438361120965965e-11,-4.426401913052753e-4,0.7523433861332326,0.6783907315953283,0.8101928865215503,Amphibians,low,neo_marginality
log(low.age + 1),-0.005633069977677555,0.009157760291995791,-0.6151143727359908,0.5385788733232393,-4.426401913052753e-4,0.7523433861332326,0.6783907315953283,0.8101928865215503,Amphibians,low,neo_marginality
(Intercept),1.2493202801823926,0.19141547811165607,6.526746387006602,9.36344335400463e-11,-5.221773259384737e-4,0.752651807576233,0.6788288996936843,0.8104043597071368,Amphibians,int,neo_marginality
log(int.age + 1),-0.005151175860837504,0.009974141537229394,-0.5164530542914666,0.605619350699786,-5.221773259384737e-4,0.752651807576233,0.6788288996936843,0.8104043597071368,Amphibians,int,neo_marginality
(Intercept),1.2473513039470976,0.19158927956619415,6.510548537848316,1.0397926963889859e-10,-5.855468267166097e-4,0.7529265221016387,0.679224141327875,0.8105903927058645,Amphibians,high,neo_marginality
log(high.age + 1),-0.004726519573028132,0.011209598378741468,-0.4216493234933178,0.6733455465113658,-5.855468267166097e-4,0.7529265221016387,0.679224141327875,0.8105903927058645,Amphibians,high,neo_marginality
(Intercept),2.663040792163216,0.2999418990017702,8.878522143875268,0,0.005134245733628074,0.37669512965669383,0.2622783643410369,0.4947899747105077,Amphibians,low,neo_specialization
log(low.age + 1),-0.07694719708666714,0.026788207023029552,-2.872428043448985,0.004134531160604915,0.005134245733628074,0.37669512965669383,0.2622783643410369,0.4947899747105077,Amphibians,low,neo_specialization
(Intercept),2.6538766979622612,0.3009161333046034,8.819323406883823,0,0.004401377541890632,0.37795255202316125,0.2633482913648175,0.49607643066761237,Amphibians,int,neo_specialization
log(int.age + 1),-0.0788104114453781,0.029347939019321725,-2.6853814638735587,0.007330046580813043,0.004401377541890632,0.37795255202316125,0.2633482913648175,0.49607643066761237,Amphibians,int,neo_specialization
(Intercept),2.6453094302196125,0.3022122475986554,8.75315097663627,0,0.0035625332546449086,0.37914624977163097,0.2643816411907066,0.49728950512466075,Amphibians,high,neo_specialization
